year,mean_rank_ic,median_rank_ic,rank_ic_std,positive_ic_ratio,negative_ic_ratio,icir,annualized_icir,mean_ndcg5,mean_ndcg10,mean_ndcg20,mean_top5_return,mean_top10_return,mean_top5_bottom5_spread,mean_top10_bottom10_spread,number_of_dates,factor_set_name,sample_mode
2025,-0.03028449735309458,-0.052640973768001004,0.18371039107854614,0.40384615384615385,0.5961538461538461,-0.16484912570974994,-1.1887439509238247,0.48240376803062684,0.4782063822419642,0.49896524550124766,0.0017804381895294404,0.0005253416177021874,0.001492494022370087,0.0005058813011884993,52,top_15,common_sample
2026,0.001026503319038848,0.011233258125718966,0.1434886376403349,0.5294117647058824,0.47058823529411764,0.007153899680975829,0.05158750423856765,0.5307838548602282,0.5226997990994593,0.5280037251342214,0.004655197831606185,0.0020177412316830317,0.0032544447982637992,0.0008743432787045152,34,top_15,common_sample
2024,-0.06004589452994312,-0.0338284327174836,0.15489147185689503,0.40384615384615385,0.5961538461538461,-0.38766430333504615,-2.795487046683069,0.47967877617535226,0.4692082571737786,0.49792735884727013,-0.002219312688596768,-0.003188167519209326,-0.0037242641497976935,-0.004538518789025149,52,top_15,native_coverage
2025,-0.03028449735309458,-0.052640973768001004,0.18371039107854614,0.40384615384615385,0.5961538461538461,-0.16484912570974994,-1.1887439509238247,0.48240376803062684,0.4782063822419642,0.49896524550124766,0.0017804381895294404,0.0005253416177021874,0.001492494022370087,0.0005058813011884993,52,top_15,native_coverage
2026,0.001026503319038848,0.011233258125718966,0.1434886376403349,0.5294117647058824,0.47058823529411764,0.007153899680975829,0.05158750423856765,0.5307838548602282,0.5226997990994593,0.5280037251342214,0.004655197831606185,0.0020177412316830317,0.0032544447982637992,0.0008743432787045152,34,top_15,native_coverage
2024,-0.02920712701920363,-0.031019528584297764,0.13872643735255766,0.4230769230769231,0.5769230769230769,-0.21053757003055587,-1.5182080083135192,0.4749961623187083,0.4774940830422827,0.4970444785369512,-0.0027755630328950916,-0.0017648455168478299,-0.0026384701638538714,-0.001581377095567412,52,top_3,common_sample
2025,-0.021940429284098277,0.0006394838281479386,0.12409245872348042,0.5,0.5,-0.17680711229188315,-1.274974218470208,0.46136595515566187,0.47270135791926704,0.4977804343688732,7.98140662347683e-06,0.0005056928218513642,0.0009201045927128299,0.0005038758432702664,52,top_3,common_sample
2026,-0.036470386869524925,-0.039043453572641273,0.11537151541321476,0.4117647058823529,0.5882352941176471,-0.3161125754385954,-2.279520199125668,0.4799890408333307,0.4726979987728387,0.49819346372603046,-0.002820229423057093,-0.0012977860802254213,-0.005597846453574037,-0.0035551648232122826,34,top_3,common_sample
2024,-0.02920712701920363,-0.031019528584297764,0.13872643735255766,0.4230769230769231,0.5769230769230769,-0.21053757003055587,-1.5182080083135192,0.4749961623187083,0.4774940830422827,0.4970444785369512,-0.0027755630328950916,-0.0017648455168478299,-0.0026384701638538714,-0.001581377095567412,52,top_3,native_coverage
2025,-0.021940429284098277,0.0006394838281479386,0.12409245872348042,0.5,0.5,-0.17680711229188315,-1.274974218470208,0.46136595515566187,0.47270135791926704,0.4977804343688732,7.98140662347683e-06,0.0005056928218513642,0.0009201045927128299,0.0005038758432702664,52,top_3,native_coverage
2026,-0.036470386869524925,-0.039043453572641273,0.11537151541321476,0.4117647058823529,0.5882352941176471,-0.3161125754385954,-2.279520199125668,0.4799890408333307,0.4726979987728387,0.49819346372603046,-0.002820229423057093,-0.0012977860802254213,-0.005597846453574037,-0.0035551648232122826,34,top_3,native_coverage
2024,-0.03037300731203047,-0.01504086256374752,0.14152409231086144,0.4230769230769231,0.5769230769230769,-0.2146136874371563,-1.5476013089421377,0.4919991525204377,0.47400523844623577,0.5005922938184464,-0.002510650014706691,-0.0028844388096851475,-0.0027560895063133166,-0.0032228945941996166,52,top_5,common_sample
2025,-0.019930113970588734,0.011163773095183783,0.14884638255280364,0.5192307692307693,0.4807692307692308,-0.13389720078362316,-0.9655464461329006,0.450366208790552,0.4626079888291864,0.49166216445113936,0.0002844599837500575,-0.0003224686287879443,0.0006337373463332197,-0.0006319149371742148,52,top_5,common_sample
2026,-0.022230790261264153,-0.029685913094506494,0.12266128465735664,0.38235294117647056,0.6176470588235294,-0.18123722023101163,-1.3069201811309437,0.4815258465619894,0.47964524802505676,0.5028306037011032,-0.0004333119237256425,-0.00012737018393760052,-0.003068223714368698,-0.002724085873868012,34,top_5,common_sample
